>Refrigerated
ice cream,250
frozen meat,550
>Refrigerated
frozen meat,25
frozen vegetable mix,325
ice,325
fish,125
>Refrigerated
fish,350
beef,450
>Refrigerated
beef,100
yoghurt,325
milk,375
>Refrigerated
milk,50
cheese,450
chicken,300
>Refrigerated
chicken,125
asparagus,275
celery,350
grapes,50
>Refrigerated
grapes,175
mushrooms,325
tomatoes,300
>Refrigerated
tomatoes,100
lettuce,350
bread,200
chocolate,150
>Ordinary
chocolate,225
chips,200
nuts,250
biscuits,325
>Ordinary
biscuits,250
pasta,250
beans,500
>Ordinary
beans,25
rice,300
