>Refrigerated
ice cream,250
frozen meat,550
>Refrigerated
fish,125
ice,325
frozen vegetable mix,325
frozen meat,25
>Refrigerated
fish,350
milk,425
beef,25
>Refrigerated
beef,525
yoghurt,275
>Refrigerated
cheese,450
chicken,300
yoghurt,50
>Refrigerated
celery,350
asparagus,275
grapes,50
chicken,125
>Refrigerated
tomatoes,400
lettuce,225
grapes,175
>Refrigerated
lettuce,125
mushrooms,325
biscuits,350
>Ordinary
pasta,250
beans,75
nuts,250
bread,200
biscuits,225
>Ordinary
beans,450
chocolate,50
chips,200
rice,300
>Ordinary
chocolate,325
